to_pickup_min,to_delivery_min,active_minutes,vehicle_code,weather_code,prep_time,period,order_size,dist_to_center,local_demand,global_demand,target_time_min
2.7368426110153004,1.5839731016061753,74.27129003598401,2,2,13.489519738654794,3,2,0.42088421134932125,1,21,15.421978530500837
0.4505823717480648,5.435143433813841,227.54266702234455,3,2,17.32668315018071,3,1,1.035028998089626,0,27,22.249230826688432
2.831695835868082,2.3847799742761966,177.09867022161535,3,2,13.103947566540022,2,2,2.0101699036138747,0,38,15.435394027784733
6.1169089660527725,2.2785529167461247,100.75185096959625,1,2,12.426308516360898,0,1,0.6894615535969657,0,42,13.199123679339868
6.356153096376599,1.993210383990493,253.24066306861053,2,1,6.027641230854867,2,2,2.192568453040466,5,49,8.451004966684852
3.316973768855463,5.182713364794123,248.44474968078433,3,1,5.701479481124345,3,2,0.5661376586548629,2,44,11.246209043917673
15.06134201628689,1.5440857322433392,247.29976403502297,1,1,10.336976554505148,2,2,1.8786392232616893,2,16,16.536351807260093
2.8100550273002343,1.826042495795149,217.15901012740682,2,1,10.57747963396994,2,1,2.306781626347454,2,29,12.742911563987372
1.7896746257001448,2.0651960932919993,223.06950409364882,2,0,12.127904947575491,0,1,1.1842156512785027,1,44,14.199905440426306
5.911809286474627,2.7230210224565026,104.6070625217438,1,1,19.573649211646597,2,2,1.3234080289803911,3,38,21.50987621632147
6.390042766016622,5.374745750660198,218.9033410416873,2,1,13.833789590665761,0,1,1.1274465641628448,4,15,18.56889908128874
6.750461880011406,1.7868381948033472,170.00056326776436,1,0,17.557089908827365,2,1,0.6706960685866674,5,27,19.902077778216295
13.378224517131548,9.47819151711987,281.77795402586366,1,0,9.054910766103232,3,1,2.1634254769097594,5,13,21.965640318077053
4.935034849094284,6.48933961610433,212.15767931978763,1,2,9.31348298478856,2,2,1.3775066257121114,3,12,16.55049374942992
3.4197829754751043,4.28960336005206,250.2350322408636,1,2,15.580601328255833,2,2,0.3724806617949859,2,33,19.216239433492564
6.897722258572073,8.25222868273151,245.42340194570735,1,1,7.375922034952247,0,1,1.5390765617916558,2,18,14.850637009132086
5.5246774857203045,4.939050431234392,240.23508996032265,3,2,13.742441487236782,1,2,2.2058992738759584,3,11,18.906674580725724
3.654053842983656,6.211903353804495,23.679197254212276,1,0,9.663343455618607,1,2,1.4661330379054849,5,14,15.204695482760481
1.7770872020088873,0.7363059125435587,143.21004870310801,3,2,19.324439242246296,2,1,1.817806164759786,5,29,19.73115500683353
