to_pickup_min,to_delivery_min,active_minutes,vehicle_code,weather_code,prep_time,period,capacity,available_capacity,order_size,batch_size,batch_time,batch_dist,local_demand,global_demand,target_time_min
1.83155131403189,3.0516430947933237,44,3,0,5,2,2,2,2,0,0.0,0.0,4,22,7.458447580245573
7.979442681518324,11.098233132191046,216,1,2,18,2,2,1,1,0,0.0,0.0,0,34,28.808349567547882
2.5598010903235444,3.3726345312772863,40,2,1,16,0,2,2,2,0,0.0,0.0,5,24,19.3725851510535
5.2641370069566324,10.789418894912702,189,1,1,7,2,1,1,1,0,0.0,0.0,0,48,18.49269808188262
10.412655508960924,11.543602531540099,166,1,0,12,2,1,1,1,0,0.0,0.0,3,27,22.286446954253492
2.5443109137872484,2.907971031506797,71,2,0,15,0,3,3,1,1,12.955831676590758,6.477915838295379,0,17,17.148955593993012
1.357920090614671,3.224475075925725,0,3,0,14,3,2,2,1,1,6.542335436362078,4.361556957574718,4,18,16.050854126654976
6.176932190502447,3.3584700314074416,102,3,2,20,0,2,2,1,1,6.95128799401219,4.634191996008126,4,24,22.969151661158982
9.01898572003363,4.19686215891581,248,2,0,6,0,3,1,1,2,19.415286663882398,9.707643331941199,3,31,19.41375896603508
7.536669828887332,5.571496362724145,38,1,0,12,2,3,1,1,0,0.0,0.0,0,25,18.486838268223227
4.176304825563512,1.7302454508871397,135,2,1,20,0,2,2,2,1,14.304961751353375,7.152480875676687,0,13,22.362967966562483
3.190150628649523,6.896539496557617,120,3,1,10,2,1,1,1,0,0.0,0.0,0,36,16.154231404542536
1.6854095524167527,1.5255311522394677,153,3,2,15,2,2,2,2,0,0.0,0.0,0,44,17.914975152203976
14.08569332341654,6.484503678209601,224,1,2,13,1,3,3,1,2,30.233447532076276,7.558361883019069,5,31,30.303125972699572
5.8862596074176645,2.8067532831111492,22,2,2,13,1,2,2,2,1,7.818332495973539,3.9091662479867697,2,47,16.046543009082345
13.902364176673192,21.218574771327685,183,1,0,18,3,3,1,1,2,32.916943019903584,8.229235754975896,5,25,39.31690982269185
6.182281521277552,5.9873801528280985,260,3,0,11,1,3,3,2,1,11.537734519760788,7.691823013173859,5,30,17.760486939072916
