f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,target_time_min
1.83155131403189,3.0516430947933237,44,37,3,0,5,2,2,1,2,0.5,2.237340237871426,4,48,8.051643094793324
2.175585413464914,14.978417003512995,216,21,1,2,11,0,2,1,2,0.5,1.3149054713856463,0,15,25.978417003512995
0.7032805970444082,2.194016658705206,40,35,2,0,16,3,2,2,2,1.0,1.1742152670559087,0,24,18.194016658705205
5.2641370069566324,10.789418894912702,189,22,1,1,7,2,1,1,1,1.0,1.772865882852451,0,48,17.7894188949127
10.412655508960924,11.543602531540099,166,53,1,0,12,2,1,1,1,1.0,2.530468550207219,3,27,23.5436025315401
2.5443109137872484,2.907971031506797,71,15,2,0,15,0,3,3,1,1.0,1.090756612073552,3,47,17.907971031506797
1.5530986870752252,3.85731818116187,81,50,3,1,12,3,3,2,1,0.6666666666666666,1.1495275577310677,4,39,15.85731818116187
15.263902629258938,9.317264694105472,150,27,1,1,5,3,1,1,1,1.0,2.3119637308731513,5,26,24.58116732336441
5.403176178680994,14.391209378448488,276,49,1,0,8,3,3,1,2,0.3333333333333333,1.1066513625225147,0,33,22.391209378448487
10.448060518418485,4.148338504432062,272,49,1,1,12,3,1,1,1,1.0,2.0062456357862963,1,26,16.14833850443206
9.572939920969763,2.671117064053851,191,28,2,2,18,3,3,2,1,0.6666666666666666,1.7727320458909193,2,11,20.671117064053853
6.640232303547512,8.069756319948736,169,4,1,2,12,2,3,1,1,0.3333333333333333,0.6771635582806109,4,18,20.069756319948738
4.776312507128175,7.954545455204475,181,27,2,2,20,2,2,2,1,1.0,2.9292572548661235,5,16,27.954545455204475
7.477132220306401,2.651335864875237,236,15,2,1,15,0,1,1,1,1.0,2.525213774791785,0,13,17.651335864875236
12.292010467320148,17.498309709928055,205,57,1,2,5,2,1,1,1,1.0,1.5172073281390401,2,39,29.790320177248205
10.541700767607512,7.090649316649679,160,3,1,1,20,1,1,1,1,1.0,1.2391818777008983,1,13,27.090649316649678
1.213733363186647,3.968142998934164,126,37,3,0,10,3,3,1,1,0.3333333333333333,1.2454149084055366,4,46,13.968142998934164
5.691527756789607,3.4773883041209164,153,29,3,1,13,3,2,1,1,0.5,2.2047030388018745,4,16,16.477388304120915
4.386701827707914,0.9631130054632654,80,28,2,2,11,0,3,3,2,1.0,1.602636275822376,5,43,11.963113005463265
1.8739133720603738,6.8688696278267285,79,17,3,2,14,0,2,1,1,0.5,1.9928624158184047,5,26,20.86886962782673
10.216317123124968,6.651983181436939,134,10,1,1,13,3,3,2,1,0.6666666666666666,0.8729028206788708,0,17,19.65198318143694
7.247865288924859,8.14354160650494,186,57,2,2,9,0,1,1,1,1.0,1.3132326946841646,0,32,17.14354160650494
3.8629432734891807,18.36865999794419,211,1,1,2,18,2,1,1,1,1.0,2.143701924063829,5,25,36.36865999794419
10.306582414145637,7.229445009585849,179,19,2,0,8,1,1,1,2,1.0,2.3006610882182525,2,27,17.536027423731486
7.403139297755889,7.743173366808832,59,56,1,0,13,3,2,1,2,0.5,1.810904884308326,0,16,20.743173366808833
9.694979620167505,7.210931905941195,130,2,1,1,16,2,3,2,2,0.6666666666666666,2.5815119357685705,4,22,23.210931905941194
2.518877070815484,4.302277660063619,158,42,3,1,7,1,2,2,2,1.0,0.6370713156132768,1,22,11.30227766006362
1.1113841096830082,2.018350818834346,107,27,2,2,17,3,3,3,1,1.0,1.4202964726155158,3,23,19.018350818834346
7.782839872821199,10.307432525228778,158,14,1,1,10,3,1,1,1,1.0,2.234478243538937,3,49,20.307432525228776
9.852520019293117,2.215402527453,124,9,2,0,19,3,3,3,2,1.0,2.3284497720804613,0,37,21.215402527453
4.368904684018387,6.885211394898216,271,35,2,0,19,1,3,2,1,0.6666666666666666,3.292364332183194,4,42,25.885211394898217
1.3509847799308028,4.177809522821189,141,49,3,2,19,3,3,2,1,0.6666666666666666,1.4431825057063818,0,28,23.17780952282119
13.392624443462022,16.930888938655034,109,4,1,1,15,1,2,2,2,1.0,0.3986907643580854,0,23,31.930888938655034
3.54693812890832,7.104629635956927,152,48,2,1,17,3,2,2,1,1.0,1.06082230639565,4,24,24.104629635956925
4.184235706780902,2.448606431460967,84,53,3,0,13,3,2,1,2,0.5,3.2304174347960206,3,47,15.448606431460966
5.746741150430576,2.08240465595713,167,13,2,2,5,2,2,2,1,1.0,1.2333138106206467,2,36,7.8291458063877055
12.23034934158789,4.996216051890517,20,48,1,0,20,1,1,1,1,1.0,1.8653751867536255,1,25,24.996216051890517
3.1659222522217267,1.820760882685793,58,49,3,1,8,0,1,1,1,1.0,2.1954803063636423,2,46,9.820760882685793
3.4304064089434787,7.144338690790636,61,50,2,1,17,2,3,1,1,0.3333333333333333,0.3687836252919323,2,14,24.144338690790637
5.789351181813293,6.238654912245411,235,45,3,2,15,3,1,1,1,1.0,1.2464664916578618,5,27,21.238654912245412
7.285611007056577,4.010863190997274,142,56,1,2,20,2,2,1,2,0.5,1.960680825237593,5,34,24.010863190997274
2.507355964586001,5.1719972243141985,141,35,3,0,20,1,1,1,2,1.0,1.877730388396095,3,45,25.171997224314197
6.428348145945808,5.917866970983704,156,42,1,0,20,2,3,2,2,0.6666666666666666,0.418557184866558,3,45,25.917866970983702
2.562277044427834,3.480879048043819,274,60,3,1,19,1,3,1,2,0.3333333333333333,1.3771174691632528,2,47,22.480879048043818
1.685107674862416,3.934293615326272,273,8,3,2,14,2,2,1,1,0.5,3.1972606527251775,5,18,17.934293615326272
5.582458712084607,4.631806598502783,129,60,1,1,8,2,2,1,1,0.5,2.367167224667314,0,46,12.631806598502784
14.117112475457404,6.381368562437499,285,48,1,2,6,2,2,1,1,0.5,2.1217672899927043,3,29,20.498481037894905
9.261862384984296,8.719664072861537,108,16,1,2,18,3,3,1,2,0.3333333333333333,1.690653094076842,0,20,26.719664072861537
6.042051705362118,5.477613676980208,36,43,2,1,19,0,1,1,2,1.0,2.191163930979352,5,22,24.47761367698021
8.760628407442491,10.177552157100564,291,58,2,0,12,3,2,2,1,1.0,1.641516004839884,5,35,22.177552157100564
10.954124312052462,4.287802637050098,13,5,2,2,20,1,1,1,2,1.0,3.3764231883431743,2,46,24.2878026370501
7.16005254152339,4.637413822816341,46,30,2,0,20,0,2,2,2,1.0,0.6470826956279376,1,31,24.63741382281634
6.840895694967854,5.02977418086801,161,16,1,2,20,3,2,1,2,0.5,3.1841149613679396,4,10,25.02977418086801
9.725425314996004,6.321873935745804,26,13,2,2,19,2,2,1,2,0.5,2.940057997955559,5,41,25.321873935745803
9.706552129193193,3.405784066483551,236,60,1,0,12,0,1,1,1,1.0,0.8688627936444119,4,27,15.405784066483552
4.236520130756664,3.0738215880415387,69,55,3,1,20,3,1,1,1,1.0,2.347982742957909,2,42,23.07382158804154
3.1834006129835934,2.6568988444723978,275,30,2,0,14,1,2,2,2,1.0,0.8554000227394586,3,30,16.656898844472398
6.368004693945668,1.590372754969291,195,24,3,0,12,3,3,3,2,1.0,3.2292343250754767,0,18,13.590372754969291
6.854586192334322,2.905222203605861,73,26,3,2,15,3,3,1,1,0.3333333333333333,2.009634579187818,2,31,17.90522220360586
4.647648116547579,2.944482366253736,249,55,2,2,17,2,3,1,1,0.3333333333333333,1.464595927384112,5,28,19.944482366253737
16.987481219645982,10.24122556799996,153,57,1,2,7,1,1,1,2,1.0,1.446075193092641,2,33,27.22870678764594
3.8341424257103447,6.258707642074494,123,31,2,0,12,3,3,1,2,0.3333333333333333,1.0272590272201143,3,26,18.258707642074494
1.9606145302128142,2.1537719441341268,153,40,3,0,19,2,2,2,2,1.0,0.6929974684634855,3,40,21.153771944134128
3.0300425666164212,2.332619867973132,202,17,3,0,17,0,1,1,2,1.0,2.9399110905942525,2,24,19.332619867973133
13.004920466594799,2.236752068718324,49,57,1,1,12,2,3,3,1,1.0,2.197364082442277,0,47,15.241672535313123
0.7362203593224013,4.162638215561804,187,33,3,2,9,1,3,2,1,0.6666666666666666,2.510294465377043,3,28,13.162638215561804
7.373176235739327,3.361869205879246,203,54,3,1,8,2,3,2,2,0.6666666666666666,1.7529220159586074,2,44,11.361869205879247
6.289710006140124,11.907820199277912,241,1,1,1,16,0,3,3,2,1.0,0.5272122397891083,5,14,27.907820199277914
7.2851126896894565,11.986034443153413,49,15,1,1,14,2,3,1,2,0.3333333333333333,0.40697804387096986,5,44,25.986034443153414
2.4624064493417883,0.7885944707378612,16,44,2,2,9,3,2,1,2,0.5,1.4248930317924562,2,16,9.788594470737861
3.967198907150987,5.124310513635634,46,42,2,1,16,2,1,1,1,1.0,2.0108329283782655,1,46,21.124310513635635
3.487791021537594,2.6169287080731465,1,17,3,0,11,1,1,1,1,1.0,1.2138166819273575,0,11,13.616928708073146
4.913366835571854,3.6629166303374086,269,7,2,0,16,0,3,1,1,0.3333333333333333,0.9646666936406918,4,47,19.66291663033741
4.507029578873204,2.894474682030569,15,3,3,1,12,0,2,2,1,1.0,1.2306485850110052,5,38,14.89447468203057
4.781268424520545,6.535214516281376,195,38,2,0,15,0,3,2,1,0.6666666666666666,0.44403557476212374,0,17,21.535214516281375
2.5425739584542173,1.8803621728884399,48,20,2,2,11,3,2,2,2,1.0,1.525105189141743,1,40,12.88036217288844
6.735001005599951,7.773525430838289,300,35,1,0,7,0,3,2,1,0.6666666666666666,1.5267237496192767,5,37,14.773525430838289
2.044254812282253,0.6758900874575652,246,14,3,2,6,3,1,1,2,1.0,2.510323722791956,2,46,6.6758900874575655
2.9512822184601917,9.102004993298811,3,11,2,1,5,1,1,1,2,1.0,1.9846778062452355,0,15,14.102004993298811
2.54292110016369,1.8277126176178053,43,56,3,2,11,2,1,1,2,1.0,1.3978673559262689,5,15,12.827712617617806
1.1084695865411438,4.396157165208556,220,7,2,1,18,1,2,2,2,1.0,0.9244387097276482,1,35,22.396157165208557
1.750507796824822,1.8464111290583085,61,0,2,0,5,2,2,2,1,1.0,1.3017888935282307,5,24,6.846411129058309
8.038931220655375,3.62553090738543,160,36,1,2,16,3,2,2,1,1.0,1.739749398712153,0,35,19.62553090738543
12.322817948941415,16.57009699946431,223,37,1,1,10,0,2,1,2,0.5,0.5918336970115237,2,24,28.892914948405725
