to_pickup_min,to_delivery_min,active_minutes,vehicle_code,weather_code,prep_time,period,capacity,available_capacity,order_size,batch_size,batch_time,batch_dist,local_demand,global_demand,target_time_min
1.8793715618491826,4.423493238498255,67,3,1,20,2,3,3,2,0,0.0,0.0,4,38,25.513189679601602
7.372085011236398,3.7781886591893126,242,2,0,19,2,2,2,2,0,0.0,0.0,4,46,21.455809152842928
3.5076871776480716,4.930517024810837,111,2,2,12,1,2,2,1,0,0.0,0.0,2,40,16.72647095187114
3.64874416684817,1.6527674867867195,11,2,1,6,3,2,2,2,1,7.856630485817156,3.928315242908578,4,28,8.09626890145798
3.709993133717049,9.158040708960211,131,1,1,16,3,3,1,1,0,0.0,0.0,3,22,26.815476459920106
5.342670088027443,14.902722622161152,281,1,2,14,3,2,2,1,0,0.0,0.0,0,12,27.850617190172283
2.0087539983894143,5.567213538278391,197,3,1,16,1,1,1,1,0,0.0,0.0,0,24,21.854508476065885
8.91030313024749,6.899603175401595,45,1,2,5,2,1,1,1,0,0.0,0.0,1,18,16.760495293927505
1.216063669738506,1.3379410940642185,36,3,1,15,0,2,2,2,0,0.0,0.0,0,50,17.358863348976467
1.402476052073692,0.6012081720842468,85,3,1,7,2,2,2,2,0,0.0,0.0,3,24,7.726032182343221
3.3833842733513766,2.154112075395422,218,2,0,15,0,1,1,1,0,0.0,0.0,2,10,17.24743379287306
4.114362225523764,3.374120587127973,220,2,0,20,2,2,2,2,0,0.0,0.0,5,36,21.688636786971447
9.230635470560065,10.01731784946306,169,1,2,7,3,3,3,2,2,33.01074223508884,8.25268555877221,5,30,32.587788520350294
1.958367517258429,6.978931187958957,150,2,0,13,3,3,2,2,0,0.0,0.0,3,44,20.324002871081525
10.245386559750594,6.08284878618289,44,1,2,18,2,2,1,1,0,0.0,0.0,1,23,24.964056041701248
5.443577734435714,2.002466126030893,168,3,2,14,2,3,3,2,2,8.616208878980128,5.74413925265342,1,23,16.376869537386746
