to_pickup_time,to_delivery_time,active_minutes,vehicle_code,weather_code,prep_time,period,capacity,order_size,available_capacity,batch_size,batch_time,batch_distance,local_demand,global_demand,target_time_min
3.2612790105197256,4.5531124898453985,45,2,2,11,1,2,3,-1,1,18.121014664454496,2.758137410681421,2,18,18.74588606955232
13.249234026463709,6.383483941046704,67,1,0,9,2,1,3,-2,0,0.0,0.0,1,22,19.405786516619226
4.239997082350906,3.506723736693483,134,3,2,11,3,3,2,1,0,0.0,0.0,3,14,14.612510908073238
2.521575235204543,3.6340752236156635,116,3,0,7,2,2,3,-1,1,5.356476508073717,2.1275096752106464,5,49,10.36950384263593
13.082040495399882,13.976591540308343,223,1,1,6,1,1,3,-2,0,0.0,0.0,4,39,26.76735519701629
3.0346214774520233,1.6579590995505893,190,3,1,13,3,2,3,-1,1,3.4415522136246786,0.8096385771227838,0,19,15.11814727936951
12.923122194636175,5.577090584171183,283,1,0,7,0,4,1,3,2,52.81904225391626,5.059819144613866,4,45,53.316482705436925
6.476593480411509,0.14386771224691575,270,2,0,11,3,3,1,2,0,0.0,0.0,0,23,11.9126671957378
4.220404264919243,4.673641833755346,106,2,0,8,1,4,2,2,3,48.37291519575982,7.830957990752287,5,46,49.26782186341077
7.65573795393777,3.241088931805547,61,1,2,15,0,4,2,2,0,0.0,0.0,2,27,17.8077319271367
3.343559927096881,7.506010330359201,185,2,0,14,2,4,3,1,3,29.61538452417642,4.8556417987537905,5,36,29.616144947363903
1.3352818641001083,1.4246876878561265,11,3,2,6,2,1,1,0,0,0.0,0.0,2,42,7.165471273726883
0.7204690771635791,2.350953802383558,65,2,0,10,3,4,3,1,0,0.0,0.0,0,31,12.40803683816067
9.650912640908503,12.490480125824012,299,1,2,6,3,1,3,-2,0,0.0,0.0,5,27,21.721474887843172
4.680521889856167,4.79285324952771,298,3,1,15,1,3,3,0,0,0.0,0.0,4,33,19.51267159604258
10.296452159931768,4.39803303763504,46,2,1,13,2,2,2,0,0,0.0,0.0,2,21,17.445224038387725
6.8291390518599835,0.5389173414647892,256,2,1,15,3,3,3,0,1,8.618557839902255,2.3317210276288187,1,50,15.855631021295663
4.962993018956135,7.469999832523393,127,1,0,14,3,4,2,2,2,21.443589253104363,2.5109155646708285,1,14,21.10181297818389
2.6908698452676623,1.9583076704405906,171,3,0,9,2,3,3,0,2,14.455369175390146,3.0006522065984864,1,50,13.708332662070243
2.486386715446494,5.016482398438742,138,3,1,11,3,4,1,3,0,0.0,0.0,4,21,15.263346077920138
10.955848844828214,5.072722994897399,132,2,1,5,0,2,3,-1,1,12.908458010203649,2.566618770268204,3,25,15.278373464883597
5.161972564844842,5.61059462156418,185,3,2,11,2,3,1,2,1,4.057758137119297,1.031118979591108,5,20,16.866306415794106
4.4773560411087,4.872230653737438,8,3,0,15,3,1,1,0,0,0.0,0.0,5,11,19.843298823091537
10.979899033085488,11.895875922642505,186,1,2,6,3,2,1,1,0,0.0,0.0,3,13,21.987383798043282
5.994947482351408,6.423573312008364,11,2,1,5,0,4,3,1,0,0.0,0.0,4,23,12.17184763186679
2.2108725721101323,9.450476758229756,32,2,2,14,1,3,3,0,1,9.466322283428369,2.2904143320530412,0,18,23.75112613543013
18.247138715231337,8.999985232182349,6,1,2,5,3,2,3,-1,1,27.06652781357275,4.563200357007094,5,26,26.73936932521995
1.600073597978802,2.3496261857519123,69,3,0,15,3,1,1,0,0,0.0,0.0,1,42,17.631678460112163
6.325746372353617,2.6159523112028844,277,2,0,6,3,2,2,0,1,9.085263333817016,3.159941107657722,4,23,9.005932039170025
6.099561376513941,8.836812759484127,102,1,0,10,1,4,2,2,0,0.0,0.0,1,32,19.20096678295688
5.248813866191067,1.7635139657259495,203,2,0,10,2,1,2,-1,0,0.0,0.0,4,13,11.333345147098852
