to_pickup_time,to_delivery_time,active_minutes,vehicle_code,weather_code,prep_time,period,capacity,order_size,available_capacity,batch_size,batch_time,batch_distance,local_demand,global_demand,target_time_min
19.322978935729022,11.935480852219595,216,1,2,6,3,1,3,-2,0,0.0,0.0,4,48,31.334381362314748
9.800991709767326,20.45883975983024,81,1,1,8,2,4,2,2,2,32.370470395835994,4.0542621592387755,5,49,32.651593516219926
15.826393517855584,22.261713033817614,119,1,1,15,3,1,1,0,0,0.0,0.0,2,20,38.21199379895165
7.180051440719261,13.975153990269334,273,1,2,15,2,2,1,1,0,0.0,0.0,5,30,28.91024550167797
20.292853653371218,23.63703046231503,290,1,0,10,3,3,2,1,2,37.61787937321568,5.245282385498612,3,15,43.116806756884955
4.410389659814139,13.738780799871579,195,2,0,15,2,4,2,2,0,0.0,0.0,5,17,28.3019336107013
5.979286525609226,7.837706284360491,1,2,0,6,3,3,2,1,2,27.750056602424408,3.6512943221529772,4,30,28.346556618395912
5.696096757730037,6.298818260686499,40,3,0,9,0,1,1,0,0,0.0,0.0,4,18,15.254829620616015
3.4467076535314223,5.136377316444606,102,3,2,14,1,3,2,1,1,7.862178330576332,2.4187612506499643,4,45,19.490892153808204
5.184198134413717,9.14508388997607,263,1,1,8,0,2,1,1,0,0.0,0.0,5,46,17.602467657168884
5.822611277177278,2.6660259167006686,216,2,1,6,2,4,1,3,0,0.0,0.0,0,35,9.092872958509293
15.070624167556456,22.384731530760547,142,1,1,13,1,4,2,2,3,92.51703538444862,12.635877574532527,3,28,91.6216020161396
19.638079355219933,19.33845493391868,29,1,1,12,1,1,1,0,0,0.0,0.0,4,40,38.89476292075499
11.94410319509867,10.942706199119534,120,1,2,6,1,4,1,3,1,34.69417287767125,3.8463313321580226,2,26,34.23070579017581
5.705513419855372,3.6532582108309812,37,2,1,15,3,1,3,-2,0,0.0,0.0,0,14,19.17703075590961
9.290937287701137,12.951784124355852,224,1,1,6,3,3,1,2,2,37.35491845059517,3.027094622190864,1,31,37.518894631679125
6.149492821359511,1.9866950881490992,22,2,1,5,2,1,1,0,0,0.0,0.0,2,20,8.709249774980119
13.598090090774377,14.07149411195352,189,1,2,6,1,2,3,-1,1,8.969359698285274,1.6770669495369406,1,16,27.41040715326499
